frequency_hz,magnitude_db
8.78906,-4.50583
11.7188,-2.72299
14.6484,-1.83048
17.5781,-1.30114
23.4375,-0.734305
29.2969,-0.481335
35.1562,-0.329399
43.9453,-0.211947
55.6641,-0.130975
67.3828,-0.0881289
84.9609,-0.0535638
102.539,-0.0353725
128.906,-0.0202127
158.203,-0.0118487
196.289,-0.00580085
243.164,-0.00196597
301.758,0.000455829
372.07,0.00184775
459.961,0.00258203
568.359,0.00269263
703.125,0.00224204
870.117,0.00115438
1075.2,-0.000788795
1330.08,-0.00402053
1646.48,-0.009218
2036.13,-0.0174275
2519.53,-0.0303803
3117.19,-0.0504908
3855.47,-0.0811251
4769.53,-0.127153
5900.39,-0.1958
7297.85,-0.298768
9026.37,-0.45511
11165,-0.683381
13813.5,-1.0191
17085.9,-1.49721
21134.8,-2.16743
26141.6,-3.07389
32337.9,-4.25493
39999,-5.72531
